-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference        47.21%        1.228s       100.00%        2.602s        2.602s       0.000us         0.00%      62.346ms      62.346ms      15.91 Kb         280 b     799.73 Mb    -558.66 Mb             1  
                                              aten::mul         0.08%       1.973ms         0.59%      15.449ms     315.286us       2.751ms         4.56%       2.806ms      57.265us           0 b           0 b     281.25 Mb     281.25 Mb            49  
                                            aten::empty         0.09%       2.425ms         0.13%       3.313ms      19.838us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     220.65 Mb     220.65 Mb           167  
                                           aten::matmul         0.02%     639.000us         0.57%      14.769ms     590.760us       0.000us         0.00%      17.005ms     680.200us           0 b           0 b     209.97 Mb           0 b            25  
                                              aten::add         0.66%      17.086ms         0.71%      18.404ms     301.705us       2.218ms         3.68%       2.265ms      37.131us           0 b           0 b     209.32 Mb     209.32 Mb            61  
                                            aten::clone         0.02%     521.000us         0.47%      12.350ms     247.000us       0.000us         0.00%       2.084ms      41.680us           0 b           0 b     180.56 Mb           0 b            50  
                                       aten::empty_like         0.01%     234.000us         0.07%       1.780ms      35.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     180.56 Mb           0 b            50  
                                            aten::addmm         0.37%       9.666ms         3.47%      90.209ms       1.879ms      32.319ms        53.63%      33.859ms     705.396us           0 b           0 b     178.73 Mb     178.73 Mb            48  
                                       aten::contiguous         0.00%      35.000us         0.33%       8.540ms     610.000us       0.000us         0.00%       1.108ms      79.143us           0 b           0 b     113.69 Mb           0 b            14  
                                           aten::linear         0.00%      17.000us         0.26%       6.790ms       6.790ms       0.000us         0.00%      14.477ms      14.477ms           0 b           0 b      96.00 Mb           0 b             1  
