-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         model_training         9.84%     143.275ms        92.50%        1.347s        1.347s       0.000us         0.00%      79.629ms      79.629ms       6.25 Kb          -8 b       1.47 Gb      -9.48 Mb             1  
                                       aten::empty_like         0.15%       2.148ms         0.72%      10.510ms      21.275us       0.000us         0.00%     597.000us       1.209us           0 b           0 b       1.07 Gb       1.18 Mb           494  
                                    aten::empty_strided         0.26%       3.856ms         0.29%       4.187ms      11.165us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     982.98 Mb     982.98 Mb           375  
                              Optimizer.step#AdamW.step         0.79%      11.460ms         6.55%      95.338ms      95.338ms       0.000us         0.00%      42.216ms      42.216ms           0 b           0 b     950.93 Mb    -475.46 Mb             1  
                                       aten::zeros_like         0.10%       1.397ms         0.73%      10.566ms      35.696us       0.000us         0.00%       4.537ms      15.328us           0 b           0 b     950.93 Mb      -6.00 Kb           296  
                                               aten::mm         0.39%       5.628ms         0.71%      10.324ms     104.283us      53.488ms        40.43%      54.078ms     546.242us           0 b           0 b     571.96 Mb     571.96 Mb            99  
                                             aten::sqrt         0.20%       2.895ms         2.95%      42.966ms     290.311us       4.333ms         3.28%       4.333ms      29.277us           0 b           0 b     475.46 Mb     475.46 Mb           148  
                                         AddmmBackward0         0.08%       1.212ms         0.77%      11.203ms     233.396us       0.000us         0.00%      34.250ms     713.542us           0 b           0 b     376.91 Mb           0 b            48  
                                            aten::empty         0.37%       5.447ms         0.56%       8.223ms      23.974us       0.000us         0.00%     620.000us       1.808us      14.08 Kb      14.08 Kb     369.71 Mb     369.71 Mb           343  
                                              aten::mul         0.30%       4.355ms         1.42%      20.641ms     142.352us       2.593ms         1.96%       3.103ms      21.400us           0 b           0 b     321.99 Mb     321.99 Mb           145  
