-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         model_training         7.14%     122.626ms        94.61%        1.626s        1.626s       0.000us         0.00%      88.552ms      88.552ms       9.38 Kb          -8 b       1.51 Gb    -287.48 Mb             1  
                                       aten::empty_like         0.10%       1.759ms         0.66%      11.379ms      23.034us       0.000us         0.00%     352.000us       0.713us           0 b           0 b       1.15 Gb      16.54 Mb           494  
                                    aten::empty_strided         0.19%       3.340ms         0.32%       5.464ms      14.571us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    1007.24 Mb    1007.24 Mb           375  
                              Optimizer.step#AdamW.step         0.58%       9.991ms         4.29%      73.699ms      73.699ms       0.000us         0.00%      41.559ms      41.559ms           0 b           0 b     954.14 Mb    -475.46 Mb             1  
                                       aten::zeros_like         0.08%       1.355ms         0.65%      11.249ms      38.003us       0.000us         0.00%       4.402ms      14.872us           0 b           0 b     954.14 Mb     -11.26 Mb           296  
                                               aten::mm         0.22%       3.720ms         0.36%       6.212ms      62.747us      70.212ms        44.03%      70.560ms     712.727us           0 b           0 b     616.91 Mb     616.91 Mb            99  
                                              aten::mul         0.15%       2.603ms         1.69%      29.093ms     200.641us       4.959ms         3.11%       5.767ms      39.772us           8 b           8 b     490.93 Mb     490.93 Mb           145  
                                            aten::empty         0.20%       3.399ms         0.44%       7.501ms      21.869us       0.000us         0.00%     429.000us       1.251us      14.08 Kb      14.08 Kb     482.22 Mb     482.22 Mb           343  
                                             aten::sqrt         0.14%       2.486ms         1.61%      27.621ms     186.628us       4.217ms         2.64%       4.217ms      28.493us           0 b           0 b     475.46 Mb     475.46 Mb           148  
                                         AddmmBackward0         0.04%     657.000us         0.36%       6.118ms     127.458us       0.000us         0.00%      44.570ms     928.542us           0 b           0 b     401.91 Mb           0 b            48  
