-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         model_training        14.05%     124.205ms        88.68%     783.846ms     783.846ms       0.000us         0.00%      62.456ms      62.456ms       3.12 Kb          -8 b       1.44 Gb     242.62 Mb             1  
                                       aten::empty_like         0.18%       1.586ms         1.27%      11.223ms      25.277us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     990.32 Mb       3.13 Mb           444  
                                    aten::empty_strided         0.41%       3.620ms         1.02%       9.051ms      24.136us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     966.96 Mb     966.96 Mb           375  
                              Optimizer.step#AdamW.step         1.22%      10.799ms         8.17%      72.187ms      72.187ms       0.000us         0.00%      42.255ms      42.255ms           0 b           0 b     950.93 Mb    -475.46 Mb             1  
                                       aten::zeros_like         0.17%       1.483ms         1.78%      15.693ms      53.017us       0.000us         0.00%       4.431ms      14.970us           0 b           0 b     950.93 Mb      -2.26 Mb           296  
                                               aten::mm         0.73%       6.450ms         4.76%      42.044ms     424.687us      30.494ms        31.98%      31.029ms     313.424us           0 b           0 b     526.78 Mb     526.78 Mb            99  
                                             aten::sqrt         0.25%       2.227ms         2.46%      21.737ms     146.872us       4.315ms         4.52%       4.315ms      29.155us           0 b           0 b     475.46 Mb     475.46 Mb           148  
                                         AddmmBackward0         0.09%     756.000us         4.79%      42.299ms     881.229us       0.000us         0.00%      20.506ms     427.208us           0 b           0 b     350.36 Mb           0 b            48  
    autograd::engine::evaluate_function: AddmmBackward0         0.17%       1.501ms         6.23%      55.067ms       1.147ms       0.000us         0.00%      21.593ms     449.854us           0 b           0 b     289.08 Mb     -61.59 Mb            48  
                                            aten::empty         0.26%       2.314ms         0.31%       2.777ms       9.478us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     228.19 Mb     228.19 Mb           293  
