-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         3.41%      26.318ms       100.00%     770.988ms     770.988ms       0.000us         0.00%     159.706ms     159.706ms      16.38 Kb         760 b       1.82 Gb      -1.86 Gb             1  
                                              aten::mul         0.64%       4.936ms         2.73%      21.018ms     109.469us       8.945ms         6.76%       9.059ms      47.182us           0 b           0 b     843.75 Mb     843.75 Mb           192  
                                              aten::add         0.45%       3.490ms         2.43%      18.748ms     110.935us       8.382ms         6.34%       9.293ms      54.988us           0 b           0 b     673.26 Mb     673.26 Mb           169  
                                           aten::linear         0.24%       1.839ms        13.80%     106.409ms     733.855us       0.000us         0.00%      91.552ms     631.393us           0 b           0 b     488.47 Mb           0 b           145  
                                            aten::addmm         1.16%       8.908ms        13.18%     101.650ms     701.034us      87.942ms        66.48%      91.552ms     631.393us           0 b           0 b     488.47 Mb     488.47 Mb           145  
                                               aten::to         0.37%       2.889ms         1.92%      14.777ms      82.094us       0.000us         0.00%       4.786ms      26.589us           0 b           0 b     371.20 Mb       3.06 Mb           180  
                                         aten::_to_copy         0.13%       1.006ms         1.55%      11.962ms     147.679us       0.000us         0.00%       4.850ms      59.877us           0 b           0 b     371.20 Mb           0 b            81  
                                    aten::empty_strided         0.11%     848.000us         0.16%       1.200ms      14.815us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     371.20 Mb     371.20 Mb            81  
                                            aten::empty         0.16%       1.260ms         0.21%       1.588ms      11.851us       0.000us         0.00%       0.000us       0.000us      14.08 Kb      14.08 Kb     250.83 Mb     250.83 Mb           134  
                                           aten::matmul         0.12%     962.000us         1.93%      14.868ms     309.750us       0.000us         0.00%      21.213ms     441.938us           0 b           0 b     248.89 Mb           0 b            48  
